,AF,CF,MF,ctrl,max_s
0,False,False,False,False,0.1190660223362357
1,False,False,False,False,0.2729671428238686
2,False,False,False,False,-0.0114074411688274
3,True,True,False,False,1.4435023557416633
4,True,True,True,False,1.7408215046032014
5,True,True,True,False,1.4052306518189233
6,False,False,False,False,0.0434073425389828
7,False,False,False,False,0.0576276330173098
8,False,False,False,False,-0.0590260392935867
9,False,False,False,False,0.1610077070544622
10,False,False,False,False,0.2060618999462778
11,False,False,False,False,0.1615930272759345
12,True,True,False,False,1.23139489779995
13,False,False,False,False,-0.0449712543112231
14,True,True,False,False,1.294473551718963
15,False,False,False,False,-0.0194891163489614
16,False,False,False,False,0.1360548692259292
17,True,True,True,False,1.433069851672678
18,False,False,False,False,0.1520297444764452
19,True,True,False,False,1.2874834163014297
20,False,False,False,False,0.0994004223343614
21,False,False,False,False,0.2961384456139964
22,True,False,False,False,0.5050871263352604
23,True,True,False,False,0.8285466363981325
24,True,True,True,False,1.4402260155090798
25,False,False,False,False,-0.032960638346465
26,True,True,True,False,1.4238259336959045
27,True,True,False,False,1.2093536665965965
28,True,True,True,False,1.0632164848582148
29,False,False,False,False,0.0688954648829187
30,True,True,True,False,1.4148194409960282
31,True,True,False,False,0.8929996383645956
32,True,True,True,False,0.7229658724099803
33,True,True,True,False,1.599862030635948
34,True,False,False,False,0.3503797311093799
35,False,False,False,False,0.0645631404694181
36,True,True,False,False,1.2919120862750355
37,False,True,True,False,0.5510928991562194
38,True,True,True,False,1.1934100921502138
39,False,False,False,False,0.3183692172608978
40,True,False,False,False,0.8174818165591489
41,True,False,False,False,0.2603761178151323
42,True,True,False,False,0.8493874914297035
43,False,False,False,False,0.2603433224405205
44,True,True,True,False,1.488310339592746
45,False,False,False,False,0.0212439931081146
46,True,True,False,False,0.7983646885299815
47,False,True,False,False,1.445588369547808
48,False,True,False,False,1.4335080943626328
49,False,True,True,False,0.584384132158549
50,True,True,True,False,1.1958567144756744
51,False,False,False,False,0.2880679760041034
52,False,False,False,False,0.0931317900682358
53,False,False,False,False,-0.1233763303953738
54,True,True,True,False,1.2356643766288389
55,True,True,True,False,1.465404753818489
56,False,False,False,False,-0.0449377476831796
57,False,False,False,False,0.1627023580019236
58,False,True,False,False,0.6269705447342722
59,False,True,False,False,0.4370105676944805
60,False,False,False,False,-0.0439779451813302
61,False,True,False,False,1.373239755167992
62,False,False,False,False,0.2001097594573355
63,False,False,False,False,0.1510624319588154
64,True,False,False,False,0.8314749236757477
65,False,False,False,False,0.0394067972100035
66,True,False,False,False,0.6694957419726572
67,True,False,False,False,0.3641848548949513
68,True,False,False,False,0.7914354301201518
69,False,False,False,False,0.3126031025838335
70,True,False,False,False,0.2755275330135446
71,True,False,False,False,1.006462453792984
72,True,False,False,False,0.9458390945472032
73,True,True,False,False,0.95065642206329
74,False,False,False,False,0.1324665361117541
75,True,True,True,False,0.7041037813812141
76,True,True,False,False,0.4771106239290054
77,True,False,False,False,0.8130327866340533
78,False,False,False,False,0.0361561060535639
79,False,False,False,False,0.0790758036680245
80,False,False,False,False,0.0534712730720031
81,False,False,False,False,0.0492752720475316
82,True,True,False,False,0.9890236602991423
83,False,False,False,False,0.0361619412760677
84,False,False,False,False,0.1124039764069223
85,True,True,True,False,1.957420283297684
86,True,True,True,False,1.5106680145925455
87,True,True,False,False,1.222166068248155
88,False,False,False,False,0.3103346115139656
89,False,False,False,False,0.0463283382889549
90,False,True,False,False,0.7572083492813843
91,False,False,False,False,-0.0098466602805438
92,False,False,False,False,-0.0030885813157308
93,False,False,False,False,0.1377113196008769
94,False,False,False,False,0.352851905766903
95,False,False,False,False,0.4046713608594194
96,False,False,False,False,0.0266810925045107
97,True,False,False,False,0.4188800948006845
98,False,False,False,False,0.1327257868345586
99,True,True,True,False,0.9201566090525388
100,False,False,False,False,0.1435719480589087
101,False,False,False,False,0.1600161064100742
102,False,False,False,False,0.1639003435357146
103,False,False,False,False,-0.1715295578301165
104,False,False,False,False,0.0066986037255189
105,False,False,False,False,-0.0945202462435882
106,False,False,False,False,0.368897368700426
107,False,False,False,False,0.022373744785295
108,True,False,False,False,0.5492643589553563
109,False,False,False,False,0.1327525274579712
110,False,False,False,False,0.1227279362744916
111,True,False,False,False,0.5074836894247159
112,True,False,False,False,0.8059256566164321
113,False,False,False,False,0.0051213233851505
114,False,False,False,False,0.0507823914465421
115,True,False,False,False,0.4061777547335737
116,False,False,False,False,0.0228848906775382
117,False,False,False,False,0.2123469310366337
118,True,False,False,False,0.5870927057719465
119,False,False,False,False,0.0697448465709066
120,True,False,False,False,0.9813901547159122
121,True,False,False,False,1.0156102220748178
122,False,False,False,False,0.2187945590149405
123,False,False,False,False,0.024766356177259
124,False,False,False,False,0.1955050850252298
125,True,False,False,False,0.3682342143507749
126,True,False,False,False,0.7293090899024242
127,False,False,False,False,0.0295911956496352
128,False,False,False,False,0.1368420435395085
129,False,False,False,False,0.2252927609759552
130,False,False,False,False,0.1485969968307741
131,False,False,False,False,0.0181880936134103
132,False,False,False,False,0.0349794854974738
133,False,True,False,False,0.5546397856763756
134,False,False,False,False,0.1468418396874583
135,True,True,False,False,0.5611286637659589
136,True,True,True,False,1.924522801423922
137,False,False,False,False,0.2776803631193132
138,False,True,False,False,0.4548307681567801
139,True,True,True,False,1.6098338474438252
140,True,True,False,False,1.4085828292404292
141,True,True,False,False,1.4449688656911608
142,False,False,False,False,0.0215345663927446
143,True,True,True,False,1.9249803275629007
144,True,True,True,False,1.8423917706775408
145,True,True,True,False,0.9147835611613402
146,False,False,False,False,0.0648112310404035
147,True,True,False,False,0.9623857578853918
148,True,True,False,False,0.4918008674930956
149,False,False,False,False,0.3363912221607467
150,False,False,False,False,-0.0067920466728991
151,False,False,False,False,0.0091694560867992
152,True,True,False,False,0.8485110334224168
153,False,False,False,False,0.019465628696052
154,False,False,False,False,0.2987203139125612
155,True,True,False,False,0.6908783840287184
156,False,False,False,False,0.0428493708733214
157,True,False,False,False,0.2732970512182271
158,False,False,False,False,0.3850538293861828
159,False,False,False,False,-0.001764724260198
160,True,True,True,False,1.7819524673902551
161,False,True,False,False,0.5979884212377689
162,True,True,True,False,1.776170094533197
163,True,True,True,False,1.8575266754295603
164,True,True,False,False,1.3168872552588542
165,True,False,True,False,0.8290501929851384
166,True,True,True,False,1.7462016987795477
167,True,True,True,False,0.8189272310498931
168,True,True,True,False,1.2505745726837778
169,False,True,False,False,0.6984151651859888
170,True,True,True,False,1.2379776074138684
171,False,False,False,False,0.041239595684958
172,False,False,False,False,0.2032951945269577
173,True,False,False,False,0.4430204378401557
174,False,True,False,False,1.2046775010313655
175,False,False,False,False,0.1207392529892273
176,False,False,False,False,0.0035622913713645
177,False,False,False,False,0.0681800859735554
178,False,False,False,False,0.0945005936791476
179,False,False,False,False,0.0208480308871095
